0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.2086
0.8812, 0.1979
0.8713, 0.1979
0.8713, 0.1979
0.8663, 0.1925
0.8564, 0.1872
0.8465, 0.1765
0.8218, 0.1551
0.8069, 0.1444
0.7822, 0.1337
0.7673, 0.1230
0.7475, 0.1070
0.7277, 0.0963
0.7079, 0.0856
0.6782, 0.0642
0.6535, 0.0535
0.6188, 0.0428
0.5990, 0.0374
0.5743, 0.0321
0.5396, 0.0160
0.5198, 0.0107
0.5000, 0.0053
0.4802, 0.0053
0.4505, 0.0000
0.4307, 0.0000
0.4059, 0.0000
0.3911, 0.0000
0.3713, 0.0000
0.3564, 0.0000
0.3366, 0.0000
0.3267, 0.0000
0.3119, 0.0000
0.2970, 0.0000
0.2871, 0.0053
0.2772, 0.0053
0.2673, 0.0107
0.2475, 0.0160
0.2376, 0.0321
0.2277, 0.0428
0.2129, 0.0535
0.1980, 0.0695
0.1832, 0.0856
0.1683, 0.1016
0.1535, 0.1283
0.1436, 0.1390
0.1287, 0.1658
0.1188, 0.1872
0.1089, 0.2086
0.0941, 0.2246
0.0792, 0.2567
0.0693, 0.2781
0.0644, 0.2995
0.0495, 0.3155
0.0396, 0.3369
0.0347, 0.3583
0.0297, 0.3690
0.0248, 0.3904
0.0198, 0.4064
0.0099, 0.4278
0.0050, 0.4385
0.0050, 0.4545
0.0050, 0.4759
0.0000, 0.4920
0.0000, 0.5187
0.0000, 0.5348
0.0000, 0.5561
0.0000, 0.5775
0.0000, 0.5882
0.0050, 0.6150
0.0149, 0.6310
0.0198, 0.6471
0.0297, 0.6578
0.0347, 0.6738
0.0446, 0.6898
0.0594, 0.7059
0.0743, 0.7219
0.0891, 0.7487
0.1139, 0.7647
0.1287, 0.7914
0.1485, 0.8075
0.1584, 0.8235
0.1782, 0.8342
0.1881, 0.8449
0.2030, 0.8556
0.2178, 0.8717
0.2277, 0.8770
0.2376, 0.8877
0.2475, 0.8930
0.2624, 0.8984
0.2772, 0.9144
0.2871, 0.9198
0.3119, 0.9305
0.3267, 0.9358
0.3465, 0.9412
0.3564, 0.9519
0.3861, 0.9626
0.3960, 0.9679
0.4109, 0.9786
0.4307, 0.9840
0.4406, 0.9840
0.4505, 0.9947
0.4653, 0.9947
0.4752, 0.9947
0.4851, 1.0000
0.4901, 1.0000
0.4950, 1.0000
0.5099, 1.0000
0.5198, 1.0000
0.5248, 1.0000
0.5347, 1.0000
0.5495, 1.0000
0.5545, 1.0000
0.5594, 1.0000
0.5644, 1.0000
0.5693, 1.0000
0.5743, 1.0000
0.5792, 1.0000
0.5792, 1.0000
0.5891, 1.0000
0.5941, 1.0000
0.6089, 0.9840
0.6188, 0.9733
0.6386, 0.9626
0.6535, 0.9412
0.6683, 0.9251
0.6832, 0.9144
0.6980, 0.8930
0.7030, 0.8824
0.7228, 0.8610
0.7277, 0.8556
0.7376, 0.8449
0.7525, 0.8342
0.7574, 0.8289
0.7673, 0.8128
0.7723, 0.8021
0.7822, 0.7914
0.7921, 0.7807
0.8020, 0.7647
0.8069, 0.7540
0.8168, 0.7433
0.8317, 0.7273
0.8366, 0.7219
0.8465, 0.7112
0.8564, 0.7005
0.8663, 0.6845
0.8812, 0.6684
0.8911, 0.6578
0.9010, 0.6471
0.9059, 0.6257
0.9208, 0.6150
0.9307, 0.5936
0.9406, 0.5775
0.9455, 0.5668
0.9604, 0.5508
0.9653, 0.5348
0.9703, 0.5187
0.9752, 0.5027
0.9802, 0.4920
0.9851, 0.4813
0.9851, 0.4759
0.9851, 0.4599
0.9950, 0.4492
0.9950, 0.4385
0.9950, 0.4332
1.0000, 0.4171
1.0000, 0.4118
1.0000, 0.4064
1.0000, 0.3957
1.0000, 0.3850
1.0000, 0.3690
1.0000, 0.3583
1.0000, 0.3476
0.9901, 0.3316
0.9901, 0.3209
0.9851, 0.3048
0.9752, 0.2941
0.9752, 0.2781
0.9653, 0.2620
0.9653, 0.2567
0.9604, 0.2406
0.9505, 0.2299
0.9455, 0.2246
0.9406, 0.2193
0.9356, 0.2086
0.9307, 0.1979
0.9257, 0.1925
0.9208, 0.1872
0.9109, 0.1818
0.9059, 0.1765
0.9010, 0.1711
0.8911, 0.1711
0.8911, 0.1658
0.8812, 0.1551
0.8812, 0.1551
0.8713, 0.1497
0.8663, 0.1444
0.8614, 0.1444
0.8614, 0.1444
0.8564, 0.1390
0.8515, 0.1390
0.8515, 0.1390
0.8465, 0.1337
0.8416, 0.1337
0.8366, 0.1283
0.8267, 0.1283
0.8218, 0.1283
0.8218, 0.1283
0.8119, 0.1230
0.8119, 0.1230
0.8069, 0.1230
