0.0000, 0.7843
0.0000, 0.7741
0.0000, 0.7690
0.0000, 0.7640
0.0000, 0.7589
0.0051, 0.7538
0.0152, 0.7487
0.0152, 0.7437
0.0254, 0.7284
0.0305, 0.7234
0.0355, 0.7183
0.0406, 0.7132
0.0457, 0.7081
0.0508, 0.7030
0.0558, 0.6980
0.0660, 0.6878
0.0711, 0.6827
0.0812, 0.6777
0.0863, 0.6726
0.0914, 0.6675
0.1015, 0.6624
0.1117, 0.6574
0.1168, 0.6472
0.1269, 0.6472
0.1320, 0.6421
0.1421, 0.6371
0.1523, 0.6371
0.1624, 0.6320
0.1827, 0.6269
0.1980, 0.6218
0.2030, 0.6218
0.2132, 0.6218
0.2234, 0.6168
0.2386, 0.6168
0.2487, 0.6066
0.2589, 0.6066
0.2690, 0.6066
0.2843, 0.6066
0.2893, 0.6066
0.2995, 0.6066
0.3046, 0.6066
0.3198, 0.6066
0.3299, 0.6066
0.3350, 0.6066
0.3452, 0.6066
0.3604, 0.6066
0.3706, 0.6066
0.3756, 0.6066
0.3858, 0.6117
0.4010, 0.6117
0.4162, 0.6117
0.4264, 0.6168
0.4315, 0.6168
0.4467, 0.6168
0.4569, 0.6218
0.4670, 0.6269
0.4873, 0.6320
0.5025, 0.6371
0.5127, 0.6421
0.5330, 0.6523
0.5482, 0.6574
0.5584, 0.6624
0.5736, 0.6624
0.5838, 0.6675
0.5888, 0.6675
0.5990, 0.6726
0.6142, 0.6777
0.6294, 0.6777
0.6396, 0.6827
0.6599, 0.6929
0.6701, 0.6929
0.6853, 0.6980
0.7107, 0.7030
0.7208, 0.7081
0.7360, 0.7081
0.7462, 0.7132
0.7563, 0.7132
0.7665, 0.7132
0.7817, 0.7132
0.7868, 0.7132
0.7970, 0.7132
0.8071, 0.7132
0.8223, 0.7183
0.8325, 0.7183
0.8426, 0.7183
0.8528, 0.7183
0.8629, 0.7183
0.8680, 0.7183
0.8782, 0.7183
0.8883, 0.7183
0.8934, 0.7183
0.9086, 0.7183
0.9137, 0.7183
0.9239, 0.7183
0.9340, 0.7132
0.9391, 0.7132
0.9492, 0.7081
0.9543, 0.7081
0.9594, 0.7081
0.9594, 0.7030
0.9645, 0.7030
0.9645, 0.6980
0.9695, 0.6878
0.9695, 0.6827
0.9695, 0.6777

0.0254, 0.2919
0.0254, 0.2868
0.0305, 0.2868
0.0355, 0.2868
0.0355, 0.2766
0.0406, 0.2766
0.0508, 0.2716
0.0609, 0.2716
0.0711, 0.2665
0.0812, 0.2665
0.1015, 0.2614
0.1117, 0.2563
0.1218, 0.2563
0.1320, 0.2513
